OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
685,Northland Plan - Volume II,2002-06-24T00:00:00.000Z,Blendon District,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
686,Northland Plan - Volume II,2002-06-24T00:00:00.000Z,Preserve District,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
4040,Far East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Industrial and Warehouse,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T13:20:50.000Z,3,Complete Adoption
607,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Multifamily Residential,Residential,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
608,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Heavy Industrial,Industrial,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
609,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Mixed Use,Mixed Use,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
611,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Institutional,Institutional,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
612,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Single-family Residential,Residential,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
613,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Commercial,Commercial,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
614,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Office,Office,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
615,Milo-Grogan Neighborhood Plan,2007-04-09T00:00:00.000Z,Park,Parks/Open Space,No,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:49:19.000Z,,Early Adoption
616,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
617,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Edge,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
619,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Neighborhood,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
620,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Neighborhood Center,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
621,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Neighborhood Center Commerical,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
622,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Park Zone,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
623,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Village Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
624,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Town Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
625,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Civic/Schools,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
627,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Town Mixed Use,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
628,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Multi-Family,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
629,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
631,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Office/Warehouse,Employment Center,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
632,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Natural/Rural Corridor,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
633,Rocky Fork - Blacklick Accord,2003-12-15T00:00:00.000Z,Natural/Rural Corridor,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
