X,Y,OBJECTID,COLS_KEY,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PRIMARY,ALT_GEOM,PHONE_NUM,GLOBALID,WEBSITE,OB_GYN,PEDIATRICS,PRIMARY_CARE
-82.945963704787061,39.919440662847073,5820351,565178,2100 REFUGEE RD,G-Cor Automotive Corporation,Retail - Services,,Yes,No,,{D55F9E75-FC0A-42ED-8799-4AF2E94B5750},,,,
-83.044021088105637,39.984987912697719,5820352,543812,1433 W 3RD AVE,Third & Hollywood,Retail - Restaurant,,Yes,No,,{CA1C0559-7774-41C1-9335-A2EE081A57F6},,,,
-82.912846612097155,39.980815349667829,5820353,646186,414 STELZER RD,Best Car Ohio,Retail - Commercial/Retail,,Yes,No,,{033ED465-279F-4A4D-83DB-C05CA30759F5},,,,
-82.945945346669646,39.94603908451603,5820354,1112675,1165 ALUM CREEK DR,Oberfield's ,Retail - Commercial/Retail,,Yes,No,,{2A8BAE29-5B28-4DE4-AE4E-8EE474BE7C26},,,,
-82.954788140397469,40.001798041720079,5820355,646946,1615 WOODLAND AVE,Morecast Precision,Industrial - Manufacturing,,Yes,No,,{566D1B94-6559-4446-918D-A95C55BDF0D4},,,,
-82.836485225302411,39.962956977196981,5820356,1234339,800 MCNAUGHTEN RD,Olde Orchard Elementary School,Education - Elementary,Columbus City Schools Building Directory 2016-2017.pdf,Yes,No,,{636C1E63-6937-4B8C-BB3C-AAEC4F8ED02E},,,,
-82.981197368976254,39.983536294072543,5820357,1099001,858 E 3RD AVE,Triedstone Missionary Baptist Church,Public Places - House of Worship,,Yes,No,,{C510DFD3-158B-4DC4-8263-DD26DEE5CF10},,,,
-83.1438021037429,39.993331562323732,5820358,427573,5055 NIKE DR,Metropolitan Environmental Services,Industrial - Manufacturing,,Yes,No,,{B44829E4-4AAD-4977-8B16-D88A49A03EB9},,,,
-82.994601696330065,39.951648827808228,5820359,1237281,525 S 4TH ST,Juergens German Bakery & Restaurant,Retail - Restaurant,,Yes,No,6142246858,{A75ED88A-7CDB-4E53-A881-7AFD5A7C260B},,,,
-82.957301078650787,39.985536966237653,5820360,1236540,1800 E 5TH AVE,Loeb Electric,Retail - Commercial/Retail,,Yes,No,,{3595EC26-F8D1-46DC-ADC7-5ED85F2A68E1},,,,
-83.043760628057981,40.111023528397624,5820361,405771,7111 LINWORTH RD,Bluffview Elementary School,Education - Elementary,,Yes,No,,{4BAB5E8A-B3E2-4870-8BA1-8FECFD6E099E},,,,
-83.078109193130231,40.058527444246806,5820362,484585,2226 W HENDERSON RD,Bento Go,Retail - Restaurant,,Yes,No,,{19FBE73E-7C81-446A-834A-1DFBA89C238D},,,,
-83.051851241649771,39.988939613987903,5820363,1250989,1689 W 5TH AVE,Qdoba Mexican Grill,Retail - Restaurant,,Yes,No,,{893ED300-C8EF-4A21-BDA3-8D87BD599169},,,,
-82.952008596885833,40.10835400361659,5820364,620394,6767 SCHROCK HILL CT,Ramada Columbus/Polaris,Retail - Hotel/Motel,,Yes,No,,{B1EBAE2D-900E-4F61-9E24-65F004CBDF3E},,,,
-82.945141166713199,40.087215897796852,5820365,1241450,5665 FOREST HILLS BLVD,American National University,Education - College/University,,Yes,No,,{570637B0-D446-454E-8B40-83A66AF44D1A},,,,
-83.050034875945386,40.063018919866941,5820366,771329,1161 BETHEL RD UNIT 101A,Bethel Grove Offices,Retail - Services,,Yes,No,,{9D61F4F5-12E6-4BF4-BCA0-14C730772AC1},,,,
-83.054163032331914,39.976010696348766,5820367,461687,1180 DUBLIN RD,Ohio Operating Engineers,Office - Corporate,,Yes,No,,{24CC80A8-8427-475E-A556-5EFFAF5B9DAA},,,,
-82.9141942829892,40.04909336584052,5820368,1251230,4022 TOWNSFAIR WAY  Unit J100,Fado Irish Pub Columbus,Retail - Restaurant,,Yes,No,6144180066,{64778FFF-09A3-4B53-91CF-4A9313C72B0B},,,,
-82.946795025386038,39.943392224642047,5820369,541140,1250 MEMORY LN N,Royal Electric Construction,Office - Corporate,,Yes,No,,{0E0983E2-A0AC-4DD6-9152-C6ADB557F11B},,,,
-83.088607686170249,40.114842846476158,5820370,764100,2762 SAWBURY BLVD,Body Evolution Fitness,Retail - Services,,Yes,No,,{21C6EEDA-33E4-4E06-B68E-4FB6C7EF7406},,,,
-82.816779493656838,39.985127334654912,5820371,689943,450 N BRICE RD,US Post Office,Government - Post Office,,Yes,No,,{37E55A04-18E5-4718-B06F-6B5FCCE90483},,,,
-82.847786061413274,39.944409850637236,5820372,1280050,5506 E LIVINGSTON AVE,Dollar Drive Variety Store,Retail - Commercial/Retail,,Yes,No,,{95EB903A-5B50-49B6-BAB1-AAD38810B39B},,,,
